member_id,household_id,primary_member_id,primary_member_name,full_name,date_of_birth,gender,physical_address,region,district,nwsc_area,town_or_ward,member_marker,relationship_to_primary,seniority_level,job_title,organisation_unit,synthetic_record
NWSC-MEM-000011,NWSC-HH-000011,NWSC-MEM-000011,Achen Walusimbi,Achen Walusimbi,1986-07-26,Female,"Plot 245, Mission Road, Najjeera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Najjeera,PRIMARY,,Field/Operations,Plant Operator,Engineering Services,TRUE
NWSC-MEM-000012,NWSC-HH-000012,NWSC-MEM-000012,John Alupo,John Alupo,1994-11-18,Male,"Plot 211, Station Road, Kakiri Road, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Kakiri Road,PRIMARY,,Supervisor/Specialist,Water Quality Specialist,Technical Services,TRUE
NWSC-MEM-000013,NWSC-HH-000013,NWSC-MEM-000013,Godfrey Baluku,Godfrey Baluku,1984-08-31,Male,"Plot 673, Station Road, Kyaliwajjala, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kyaliwajjala,PRIMARY,,Area/Branch Manager,Branch Manager,Legal Services,TRUE
NWSC-MEM-000014,NWSC-HH-000014,NWSC-MEM-000014,Grace Kiconco,Grace Kiconco,1996-03-14,Female,"Plot 337, Lake View Road, Kololo, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Kololo,PRIMARY,,Area/Branch Manager,District Operations Manager,Information & Business Solutions,TRUE
NWSC-MEM-000015,NWSC-HH-000015,NWSC-MEM-000015,Raymond Waiswa,Raymond Waiswa,1983-04-26,Male,"Plot 408, Station Road, Namusera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Namusera,PRIMARY,,Field/Operations,Meter Reader,Kampala Water,TRUE
NWSC-MEM-000016,NWSC-HH-000016,NWSC-MEM-000016,Paul Mutebi,Paul Mutebi,1987-03-14,Male,"Plot 645, Council Road, Nakasero, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Nakasero,PRIMARY,,Supervisor/Specialist,Water Quality Specialist,Legal Services,TRUE
NWSC-MEM-000017,NWSC-HH-000017,NWSC-MEM-000017,Jackie Okot,Jackie Okot,1979-02-28,Female,"Plot 690, School Lane, Kakiri Road, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Kakiri Road,PRIMARY,,Field/Operations,Meter Reader,Kampala Water,TRUE
NWSC-MEM-000018,NWSC-HH-000018,NWSC-MEM-000018,Francis Bukenya,Francis Bukenya,1993-02-18,Male,"Plot 647, Station Road, Masulita, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Masulita,PRIMARY,,Field/Operations,Plant Operator,Water Quality,TRUE
NWSC-MEM-000019,NWSC-HH-000019,NWSC-MEM-000019,Rebecca Okello,Rebecca Okello,1996-09-17,Female,"Plot 178, Reservoir Road, Goma, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Goma,PRIMARY,,Supervisor/Specialist,Projects Supervisor,Commercial & Customer Services,TRUE
NWSC-MEM-000020,NWSC-HH-000020,NWSC-MEM-000020,Violet Laker,Violet Laker,1986-09-14,Female,"Plot 815, Spring Road, Buloba, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Buloba,PRIMARY,,Professional/Officer,Civil Engineer,Human Resource,TRUE
NWSC-MEM-000021,NWSC-HH-000021,NWSC-MEM-000021,Collins Kakooza,Collins Kakooza,1978-03-30,Male,"Plot 562, Lake View Road, Kazo, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Kazo,PRIMARY,,Field/Operations,Pump Attendant,Commercial & Customer Services,TRUE
NWSC-MEM-000022,NWSC-HH-000022,NWSC-MEM-000022,Mary Kato,Mary Kato,1991-09-03,Female,"Plot 722, Commercial Street, Kira, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kira,PRIMARY,,Area/Branch Manager,Customer Service Manager,Kampala Water,TRUE
NWSC-MEM-000023,NWSC-HH-000023,NWSC-MEM-000023,Godfrey Nabirye,Godfrey Nabirye,1986-02-21,Male,"Plot 187, Hospital Road, Masulita, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Masulita,PRIMARY,,Professional/Officer,IT Officer,Kampala Water,TRUE
NWSC-MEM-000024,NWSC-HH-000024,NWSC-MEM-000024,Martha Kiconco,Martha Kiconco,1989-01-28,Female,"Plot 123, Commercial Street, Najjeera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Najjeera,PRIMARY,,Professional/Officer,Human Resource Officer,Finance & Corporate Strategy,TRUE
NWSC-MEM-000025,NWSC-HH-000025,NWSC-MEM-000025,Jackie Otieno,Jackie Otieno,1986-10-18,Female,"Plot 743, Industrial Lane, Kololo, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Kololo,PRIMARY,,Professional/Officer,Finance Officer,Water Quality,TRUE
NWSC-MEM-000026,NWSC-HH-000026,NWSC-MEM-000026,Ocen Aciro,Ocen Aciro,1988-08-03,Male,"Plot 333, School Lane, Namusera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Namusera,PRIMARY,,Support/Admin,Driver,Kampala Water,TRUE
NWSC-MEM-000027,NWSC-HH-000027,NWSC-MEM-000027,Ritah Alupo,Ritah Alupo,1984-01-14,Female,"Plot 706, Reservoir Road, Wakiso, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Wakiso,PRIMARY,,Senior Director/Director,Director of Operations,Water Quality,TRUE
NWSC-MEM-000028,NWSC-HH-000028,NWSC-MEM-000028,Simon Agaba,Simon Agaba,1975-12-12,Male,"Plot 686, Commercial Street, Makindye, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Makindye,PRIMARY,,Regional/General Manager,Deputy Regional Manager,Kampala Water,TRUE
NWSC-MEM-000029,NWSC-HH-000029,NWSC-MEM-000029,Joan Biryomumaisho,Joan Biryomumaisho,1974-02-04,Female,"Plot 909, Hospital Road, Kazo, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Kazo,PRIMARY,,Executive Leadership,Chief Technical Advisor,Water Quality,TRUE
NWSC-MEM-000030,NWSC-HH-000030,NWSC-MEM-000030,Violet Ocen,Violet Ocen,1988-05-21,Female,"Plot 60, High Street, Busiro, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Busiro,PRIMARY,,Supervisor/Specialist,Water Quality Specialist,Engineering Services,TRUE
NWSC-MEM-000031,NWSC-HH-000031,NWSC-MEM-000031,Ben Nantongo,Ben Nantongo,1985-02-19,Male,"Plot 957, Hospital Road, Seeta, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Seeta,PRIMARY,,Field/Operations,Meter Reader,Internal Audit,TRUE
NWSC-MEM-000032,NWSC-HH-000032,NWSC-MEM-000032,Robert Odongo,Robert Odongo,1993-04-09,Male,"Plot 79, Hospital Road, Buloba, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Buloba,PRIMARY,,Field/Operations,Field Assistant,Public Relations & Corporate Communications,TRUE
NWSC-MEM-000033,NWSC-HH-000033,NWSC-MEM-000033,Peter Tusubira,Peter Tusubira,1989-09-19,Male,"Plot 395, Industrial Lane, Wakiso, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Wakiso,PRIMARY,,Field/Operations,Leakage Technician,Kampala Water,TRUE
NWSC-MEM-000034,NWSC-HH-000034,NWSC-MEM-000034,Paul Nakimuli,Paul Nakimuli,1999-08-04,Male,"Plot 431, Church Road, Namanve, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Namanve,PRIMARY,,Professional/Officer,Commercial Officer,Technical Services,TRUE
NWSC-MEM-000035,NWSC-HH-000035,NWSC-MEM-000035,Godfrey Odongo,Godfrey Odongo,1984-09-10,Male,"Plot 208, Industrial Lane, Namusera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Namusera,PRIMARY,,Supervisor/Specialist,Water Quality Specialist,Kampala Water,TRUE
NWSC-MEM-000036,NWSC-HH-000036,NWSC-MEM-000036,Catherine Aciro,Catherine Aciro,1989-04-25,Female,"Plot 607, Spring Road, Mukono Central, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Mukono Central,PRIMARY,,Area/Branch Manager,Branch Manager,Regional Operations,TRUE
NWSC-MEM-000037,NWSC-HH-000037,NWSC-MEM-000037,Emmanuel Nantongo,Emmanuel Nantongo,1986-02-13,Male,"Plot 72, Council Road, Seeta, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Seeta,PRIMARY,,Professional/Officer,Procurement Officer,Human Resource,TRUE
NWSC-MEM-000038,NWSC-HH-000038,NWSC-MEM-000038,Abdul Nabirye,Abdul Nabirye,1988-07-04,Male,"Plot 25, Council Road, Masulita, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Masulita,PRIMARY,,Field/Operations,Meter Reader,Planning & Capital Development,TRUE
NWSC-MEM-000039,NWSC-HH-000039,NWSC-MEM-000039,Achen Wamala,Achen Wamala,1980-09-12,Female,"Plot 876, Station Road, Kyaliwajjala, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kyaliwajjala,PRIMARY,,Field/Operations,Plant Operator,Information & Business Solutions,TRUE
NWSC-MEM-000040,NWSC-HH-000040,NWSC-MEM-000040,Robert Ouma,Robert Ouma,1987-04-24,Male,"Plot 209, Lake View Road, Masulita, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Masulita,PRIMARY,,Professional/Officer,IT Officer,Human Resource,TRUE
NWSC-MEM-000041,NWSC-HH-000041,NWSC-MEM-000041,Timothy Laker,Timothy Laker,1997-11-23,Male,"Plot 886, Church Road, Nabweru, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Nabweru,PRIMARY,,Field/Operations,Field Assistant,Kampala Water,TRUE
NWSC-MEM-000042,NWSC-HH-000042,NWSC-MEM-000042,Martha Nanyonga,Martha Nanyonga,2003-10-09,Female,"Plot 5, High Street, Namusera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Namusera,PRIMARY,,Professional/Officer,Human Resource Officer,Kampala Water,TRUE
NWSC-MEM-000043,NWSC-HH-000043,NWSC-MEM-000043,Opio Laker,Opio Laker,1987-06-04,Male,"Plot 934, Industrial Lane, Kira, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kira,PRIMARY,,Professional/Officer,IT Officer,Kampala Water,TRUE
NWSC-MEM-000044,NWSC-HH-000044,NWSC-MEM-000044,Collins Kizza,Collins Kizza,1991-04-03,Male,"Plot 909, Commercial Street, Nansana, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Nansana,PRIMARY,,Professional/Officer,Human Resource Officer,Kampala Water,TRUE
NWSC-MEM-000045,NWSC-HH-000045,NWSC-MEM-000045,Rose Nantongo,Rose Nantongo,1998-09-21,Female,"Plot 357, Civic Road, Rubaga, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Rubaga,PRIMARY,,Field/Operations,Network Technician,Kampala Water,TRUE
NWSC-MEM-000046,NWSC-HH-000046,NWSC-MEM-000046,Ocen Otieno,Ocen Otieno,1993-12-21,Male,"Plot 240, High Street, Ntinda, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Ntinda,PRIMARY,,Field/Operations,Meter Reader,Finance & Corporate Strategy,TRUE
NWSC-MEM-000047,NWSC-HH-000047,NWSC-MEM-000047,Rose Kyomuhendo,Rose Kyomuhendo,1993-10-24,Female,"Plot 204, Old Kampala Road, Rubaga, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Rubaga,PRIMARY,,Area/Branch Manager,Customer Service Manager,Internal Audit,TRUE
NWSC-MEM-000048,NWSC-HH-000048,NWSC-MEM-000048,Brian Nakku,Brian Nakku,1983-10-30,Male,"Plot 89, Mission Road, Buloba, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Buloba,PRIMARY,,Area/Branch Manager,Branch Manager,Public Relations & Corporate Communications,TRUE
NWSC-MEM-000049,NWSC-HH-000049,NWSC-MEM-000049,Babirye Akello,Babirye Akello,1980-01-14,Female,"Plot 308, School Lane, Kira, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kira,PRIMARY,,Area/Branch Manager,Customer Service Manager,Planning & Capital Development,TRUE
NWSC-MEM-000050,NWSC-HH-000050,NWSC-MEM-000050,Patrick Kizza,Patrick Kizza,1994-02-13,Male,"Plot 647, Station Road, Seeta, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Seeta,PRIMARY,,Supervisor/Specialist,Projects Supervisor,Engineering Services,TRUE
NWSC-MEM-000051,NWSC-HH-000051,NWSC-MEM-000051,Brenda Nalubega,Brenda Nalubega,1991-08-06,Female,"Plot 89, Civic Road, Kakiri, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Kakiri,PRIMARY,,Field/Operations,Network Technician,Internal Audit,TRUE
NWSC-MEM-000052,NWSC-HH-000052,NWSC-MEM-000052,Joan Wamala,Joan Wamala,1994-12-02,Female,"Plot 773, School Lane, Nansana, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Nansana,PRIMARY,,Field/Operations,Pump Attendant,Kampala Water,TRUE
NWSC-MEM-000053,NWSC-HH-000053,NWSC-MEM-000053,Brian Nsubuga,Brian Nsubuga,1990-11-28,Male,"Plot 919, Old Kampala Road, Nansana, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Nansana,PRIMARY,,Supervisor/Specialist,Billing Supervisor,Kampala Water,TRUE
NWSC-MEM-000054,NWSC-HH-000054,NWSC-MEM-000054,Linda Kisembo,Linda Kisembo,1981-12-01,Female,"Plot 604, Station Road, Kololo, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Kololo,PRIMARY,,Senior Director/Director,Director of Customer Services,Kampala Water,TRUE
NWSC-MEM-000055,NWSC-HH-000055,NWSC-MEM-000055,Sarah Mutebi,Sarah Mutebi,1982-09-28,Female,"Plot 275, Market Street, Kawanda, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Kawanda,PRIMARY,,Field/Operations,Leakage Technician,Human Resource,TRUE
NWSC-MEM-000056,NWSC-HH-000056,NWSC-MEM-000056,Francis Odongo,Francis Odongo,1990-02-14,Male,"Plot 859, Reservoir Road, Bweyogerere, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Bweyogerere,PRIMARY,,Field/Operations,Leakage Technician,Planning & Capital Development,TRUE
NWSC-MEM-000057,NWSC-HH-000057,NWSC-MEM-000057,John Mukasa,John Mukasa,1991-08-22,Male,"Plot 56, Lake View Road, Kira, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kira,PRIMARY,,Supervisor/Specialist,Water Quality Specialist,Kampala Water,TRUE
NWSC-MEM-000058,NWSC-HH-000058,NWSC-MEM-000058,Annet Kisembo,Annet Kisembo,1977-08-01,Female,"Plot 593, School Lane, Kira, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kira,PRIMARY,,Field/Operations,Meter Reader,Regional Operations,TRUE
NWSC-MEM-000059,NWSC-HH-000059,NWSC-MEM-000059,Andrew Tumusiime,Andrew Tumusiime,1966-10-27,Male,"Plot 66, Hill Road, Namanve, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Namanve,PRIMARY,,Executive Leadership,Corporate Strategy Lead,Human Resource,TRUE
NWSC-MEM-000060,NWSC-HH-000060,NWSC-MEM-000060,Ibrahim Mutebi,Ibrahim Mutebi,1989-02-07,Male,"Plot 161, Civic Road, Rubaga, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Rubaga,PRIMARY,,Professional/Officer,Commercial Officer,Kampala Water,TRUE
NWSC-MEM-000061,NWSC-HH-000061,NWSC-MEM-000061,Irene Nakku,Irene Nakku,1985-11-20,Female,"Plot 927, Church Road, Masulita, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Masulita,PRIMARY,,Supervisor/Specialist,Projects Supervisor,Public Relations & Corporate Communications,TRUE
NWSC-MEM-000062,NWSC-HH-000062,NWSC-MEM-000062,Daniel Ntale,Daniel Ntale,1999-04-09,Male,"Plot 443, High Street, Masulita, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Masulita,PRIMARY,,Professional/Officer,IT Officer,Kampala Water,TRUE
NWSC-MEM-000063,NWSC-HH-000063,NWSC-MEM-000063,Ruth Kahuma,Ruth Kahuma,1982-08-05,Female,"Plot 874, Old Kampala Road, Goma, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Goma,PRIMARY,,Field/Operations,Plant Operator,Finance & Corporate Strategy,TRUE
NWSC-MEM-000064,NWSC-HH-000064,NWSC-MEM-000064,Collins Ocen,Collins Ocen,1988-01-25,Male,"Plot 309, Station Road, Mukono Central, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Mukono Central,PRIMARY,,Regional/General Manager,General Manager,Kampala Water,TRUE
NWSC-MEM-000065,NWSC-HH-000065,NWSC-MEM-000065,Jackie Wamala,Jackie Wamala,1977-08-29,Female,"Plot 496, Spring Road, Masulita, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Masulita,PRIMARY,,Field/Operations,Plant Operator,Regional Operations,TRUE
NWSC-MEM-000066,NWSC-HH-000066,NWSC-MEM-000066,Okello Bukenya,Okello Bukenya,1994-04-22,Male,"Plot 304, Hospital Road, Namusera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Namusera,PRIMARY,,Supervisor/Specialist,Water Quality Specialist,Water Quality,TRUE
NWSC-MEM-000067,NWSC-HH-000067,NWSC-MEM-000067,Peter Baluku,Peter Baluku,1975-09-14,Male,"Plot 533, Market Street, Kira, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kira,PRIMARY,,Senior Director/Director,Director of Operations,Regional Operations,TRUE
NWSC-MEM-000068,NWSC-HH-000068,NWSC-MEM-000068,Stephen Nakku,Stephen Nakku,1993-10-25,Male,"Plot 807, Civic Road, Kira, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kira,PRIMARY,,Supervisor/Specialist,Billing Supervisor,Kampala Water,TRUE
NWSC-MEM-000069,NWSC-HH-000069,NWSC-MEM-000069,Godfrey Okello,Godfrey Okello,1980-11-23,Male,"Plot 893, Civic Road, Seeta, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Seeta,PRIMARY,,Senior Director/Director,Director of Customer Services,Kampala Water,TRUE
NWSC-MEM-000070,NWSC-HH-000070,NWSC-MEM-000070,Abdul Baluku,Abdul Baluku,1999-07-25,Male,"Plot 846, Main Street, Masulita, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Masulita,PRIMARY,,Field/Operations,Pump Attendant,Commercial & Customer Services,TRUE
NWSC-MEM-000071,NWSC-HH-000071,NWSC-MEM-000071,Joan Mirembe,Joan Mirembe,1982-02-27,Female,"Plot 361, Spring Road, Kakiri, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Kakiri,PRIMARY,,Senior Director/Director,Director of Engineering,Kampala Water,TRUE
NWSC-MEM-000072,NWSC-HH-000072,NWSC-MEM-000072,Catherine Bukenya,Catherine Bukenya,1994-12-01,Female,"Plot 112, Council Road, Namanve, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Namanve,PRIMARY,,Support/Admin,Records Clerk,Kampala Water,TRUE
NWSC-MEM-000073,NWSC-HH-000073,NWSC-MEM-000073,Sylvia Ouma,Sylvia Ouma,1995-07-30,Female,"Plot 408, Spring Road, Masulita, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Masulita,PRIMARY,,Professional/Officer,Civil Engineer,Legal Services,TRUE
NWSC-MEM-000074,NWSC-HH-000074,NWSC-MEM-000074,Ruth Namutebi,Ruth Namutebi,1992-05-08,Female,"Plot 339, Commercial Street, Namanve, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Namanve,PRIMARY,,Field/Operations,Leakage Technician,Public Relations & Corporate Communications,TRUE
NWSC-MEM-000075,NWSC-HH-000075,NWSC-MEM-000075,Susan Odongo,Susan Odongo,1983-06-06,Female,"Plot 250, Market Street, Kyaliwajjala, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kyaliwajjala,PRIMARY,,Field/Operations,Network Technician,Finance & Corporate Strategy,TRUE
NWSC-MEM-000076,NWSC-HH-000076,NWSC-MEM-000076,Brenda Byaruhanga,Brenda Byaruhanga,2003-10-27,Female,"Plot 560, Lake View Road, Nakasero, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Nakasero,PRIMARY,,Support/Admin,Stores Assistant,Planning & Capital Development,TRUE
NWSC-MEM-000077,NWSC-HH-000077,NWSC-MEM-000077,Mary Wamala,Mary Wamala,1980-06-10,Female,"Plot 104, Old Kampala Road, Najjeera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Najjeera,PRIMARY,,Senior Director/Director,Director of Finance,Kampala Water,TRUE
NWSC-MEM-000078,NWSC-HH-000078,NWSC-MEM-000078,Isaac Aciro,Isaac Aciro,2000-05-19,Male,"Plot 366, Commercial Street, Mukono Central, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Mukono Central,PRIMARY,,Field/Operations,Pump Attendant,Legal Services,TRUE
NWSC-MEM-000079,NWSC-HH-000079,NWSC-MEM-000079,Mark Okello,Mark Okello,1999-07-27,Male,"Plot 251, High Street, Buloba, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Buloba,PRIMARY,,Support/Admin,Stores Assistant,Kampala Water,TRUE
NWSC-MEM-000080,NWSC-HH-000080,NWSC-MEM-000080,Collins Okello,Collins Okello,1984-03-25,Male,"Plot 734, Civic Road, Nakasero, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Nakasero,PRIMARY,,Field/Operations,Field Assistant,Kampala Water,TRUE
NWSC-MEM-000081,NWSC-HH-000081,NWSC-MEM-000081,Ben Mukasa,Ben Mukasa,1999-12-19,Male,"Plot 576, Reservoir Road, Wakiso, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Wakiso,PRIMARY,,Professional/Officer,Commercial Officer,Engineering Services,TRUE
NWSC-MEM-000082,NWSC-HH-000082,NWSC-MEM-000082,Ben Obote,Ben Obote,1971-03-21,Male,"Plot 174, Station Road, Kakiri Road, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Kakiri Road,PRIMARY,,Senior Director/Director,Director of Engineering,Kampala Water,TRUE
NWSC-MEM-000083,NWSC-HH-000083,NWSC-MEM-000083,Grace Okot,Grace Okot,1999-02-15,Female,"Plot 782, Spring Road, Namusera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Namusera,PRIMARY,,Field/Operations,Plant Operator,Technical Services,TRUE
NWSC-MEM-000084,NWSC-HH-000084,NWSC-MEM-000084,Angela Tumusiime,Angela Tumusiime,2004-07-13,Female,"Plot 354, School Lane, Ntinda, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Ntinda,PRIMARY,,Field/Operations,Meter Reader,Planning & Capital Development,TRUE
