member_number,db_id,source_member_id,household_id,full_name,tier,relationship,seniority_level,job_title,organisation_unit,physical_address,region,district,nwsc_area,town_or_ward,onboarded_via
NWSC-2026-00276,nwea08eb4b9271c0702597,NWSC-MEM-000024,NWSC-HH-000024,Martha Kiconco,Officer,Principal,Professional/Officer,Human Resource Officer,Finance & Corporate Strategy,"Plot 123, Commercial Street, Najjeera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Najjeera,DB
NWSC-2026-00277,nwe528f884c391cbf8ebf3,NWSC-MEM-000025,NWSC-HH-000025,Jackie Otieno,Officer,Principal,Professional/Officer,Finance Officer,Water Quality,"Plot 743, Industrial Lane, Kololo, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Kololo,DB
NWSC-2026-00278,nw2795158bc34085d8378b,NWSC-MEM-000026,NWSC-HH-000026,Ocen Aciro,Staff,Principal,Support/Admin,Driver,Kampala Water,"Plot 333, School Lane, Namusera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Namusera,DB
NWSC-2026-00279,nw616b62c4adf9e138a2b0,NWSC-MEM-000027,NWSC-HH-000027,Ritah Alupo,Executive,Principal,Senior Director/Director,Director of Operations,Water Quality,"Plot 706, Reservoir Road, Wakiso, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Wakiso,DB
NWSC-2026-00280,nwc8a2830fe1da4536131a,NWSC-MEM-000028,NWSC-HH-000028,Simon Agaba,Management,Principal,Regional/General Manager,Deputy Regional Manager,Kampala Water,"Plot 686, Commercial Street, Makindye, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Makindye,DB
NWSC-2026-00250,cmr951xd3000004l21dstnqjd,NWSC-MEM-000029,NWSC-HH-000029,Joan Biryomumaisho,Executive,Principal,Executive Leadership,Chief Technical Advisor,Water Quality,"Plot 909, Hospital Road, Kazo, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Kazo,UI
NWSC-2026-00281,nw4032cbd804d9f2334015,NWSC-MEM-000030,NWSC-HH-000030,Violet Ocen,Officer,Principal,Supervisor/Specialist,Water Quality Specialist,Engineering Services,"Plot 60, High Street, Busiro, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Busiro,DB
NWSC-2026-00282,nw434bee53429dd5eda5d7,NWSC-MEM-000031,NWSC-HH-000031,Ben Nantongo,Staff,Principal,Field/Operations,Meter Reader,Internal Audit,"Plot 957, Hospital Road, Seeta, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Seeta,DB
NWSC-2026-00283,nwba769bfdbd54d04c9cef,NWSC-MEM-000032,NWSC-HH-000032,Robert Odongo,Staff,Principal,Field/Operations,Field Assistant,Public Relations & Corporate Communications,"Plot 79, Hospital Road, Buloba, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Buloba,DB
NWSC-2026-00284,nwe46ccd942aabd39649b6,NWSC-MEM-000033,NWSC-HH-000033,Peter Tusubira,Staff,Principal,Field/Operations,Leakage Technician,Kampala Water,"Plot 395, Industrial Lane, Wakiso, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Wakiso,DB
NWSC-2026-00285,nw66108fe7298f741c0461,NWSC-MEM-000034,NWSC-HH-000034,Paul Nakimuli,Officer,Principal,Professional/Officer,Commercial Officer,Technical Services,"Plot 431, Church Road, Namanve, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Namanve,DB
NWSC-2026-00286,nw7bd1e239ddb8a4acf074,NWSC-MEM-000035,NWSC-HH-000035,Godfrey Odongo,Officer,Principal,Supervisor/Specialist,Water Quality Specialist,Kampala Water,"Plot 208, Industrial Lane, Namusera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Namusera,DB
NWSC-2026-00287,nwf91d3913b6928cad2488,NWSC-MEM-000036,NWSC-HH-000036,Catherine Aciro,Management,Principal,Area/Branch Manager,Branch Manager,Regional Operations,"Plot 607, Spring Road, Mukono Central, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Mukono Central,DB
NWSC-2026-00288,nw791bbede7a2b08f6bac0,NWSC-MEM-000037,NWSC-HH-000037,Emmanuel Nantongo,Officer,Principal,Professional/Officer,Procurement Officer,Human Resource,"Plot 72, Council Road, Seeta, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Seeta,DB
NWSC-2026-00289,nweadf2ba01530e0deb21a,NWSC-MEM-000038,NWSC-HH-000038,Abdul Nabirye,Staff,Principal,Field/Operations,Meter Reader,Planning & Capital Development,"Plot 25, Council Road, Masulita, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Masulita,DB
NWSC-2026-00290,nw4241bd45739d8eb35583,NWSC-MEM-000039,NWSC-HH-000039,Achen Wamala,Staff,Principal,Field/Operations,Plant Operator,Information & Business Solutions,"Plot 876, Station Road, Kyaliwajjala, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kyaliwajjala,DB
NWSC-2026-00291,nw4b226b4f2f103b12879b,NWSC-MEM-000040,NWSC-HH-000040,Robert Ouma,Officer,Principal,Professional/Officer,IT Officer,Human Resource,"Plot 209, Lake View Road, Masulita, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Masulita,DB
NWSC-2026-00292,nw3a76e24fc6c27d82a266,NWSC-MEM-000041,NWSC-HH-000041,Timothy Laker,Staff,Principal,Field/Operations,Field Assistant,Kampala Water,"Plot 886, Church Road, Nabweru, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Nabweru,DB
NWSC-2026-00293,nwe9b908bf392e8fec32e9,NWSC-MEM-000042,NWSC-HH-000042,Martha Nanyonga,Officer,Principal,Professional/Officer,Human Resource Officer,Kampala Water,"Plot 5, High Street, Namusera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Namusera,DB
NWSC-2026-00294,nwd2952ecf0b063f8635c1,NWSC-MEM-000043,NWSC-HH-000043,Opio Laker,Officer,Principal,Professional/Officer,IT Officer,Kampala Water,"Plot 934, Industrial Lane, Kira, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kira,DB
NWSC-2026-00295,nw004359ce729812606b6a,NWSC-MEM-000044,NWSC-HH-000044,Collins Kizza,Officer,Principal,Professional/Officer,Human Resource Officer,Kampala Water,"Plot 909, Commercial Street, Nansana, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Nansana,DB
NWSC-2026-00296,nw0113d06edb0be84e6edd,NWSC-MEM-000045,NWSC-HH-000045,Rose Nantongo,Staff,Principal,Field/Operations,Network Technician,Kampala Water,"Plot 357, Civic Road, Rubaga, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Rubaga,DB
NWSC-2026-00297,nw813b519149ee747646ab,NWSC-MEM-000046,NWSC-HH-000046,Ocen Otieno,Staff,Principal,Field/Operations,Meter Reader,Finance & Corporate Strategy,"Plot 240, High Street, Ntinda, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Ntinda,DB
NWSC-2026-00298,nwdf9389bf89eea53ee3a8,NWSC-MEM-000047,NWSC-HH-000047,Rose Kyomuhendo,Management,Principal,Area/Branch Manager,Customer Service Manager,Internal Audit,"Plot 204, Old Kampala Road, Rubaga, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Rubaga,DB
NWSC-2026-00299,nw9379e53182756973b1da,NWSC-MEM-000048,NWSC-HH-000048,Brian Nakku,Management,Principal,Area/Branch Manager,Branch Manager,Public Relations & Corporate Communications,"Plot 89, Mission Road, Buloba, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Buloba,DB
NWSC-2026-00300,nw8fbda2edab1926d60785,NWSC-MEM-000049,NWSC-HH-000049,Babirye Akello,Management,Principal,Area/Branch Manager,Customer Service Manager,Planning & Capital Development,"Plot 308, School Lane, Kira, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kira,DB
NWSC-2026-00301,nw19ee8ba29149d1b755fc,NWSC-MEM-000050,NWSC-HH-000050,Patrick Kizza,Officer,Principal,Supervisor/Specialist,Projects Supervisor,Engineering Services,"Plot 647, Station Road, Seeta, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Seeta,DB
NWSC-2026-00302,nw44ebd55c46f567db42b9,NWSC-MEM-000051,NWSC-HH-000051,Brenda Nalubega,Staff,Principal,Field/Operations,Network Technician,Internal Audit,"Plot 89, Civic Road, Kakiri, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Kakiri,DB
NWSC-2026-00303,nw8fda9325ff1777a4d2a9,NWSC-MEM-000052,NWSC-HH-000052,Joan Wamala,Staff,Principal,Field/Operations,Pump Attendant,Kampala Water,"Plot 773, School Lane, Nansana, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Nansana,DB
NWSC-2026-00304,nw894f9ee53d8b283b05e5,NWSC-MEM-000053,NWSC-HH-000053,Brian Nsubuga,Officer,Principal,Supervisor/Specialist,Billing Supervisor,Kampala Water,"Plot 919, Old Kampala Road, Nansana, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Nansana,DB
NWSC-2026-00305,nwc5ffef0064045b57047f,NWSC-MEM-000054,NWSC-HH-000054,Linda Kisembo,Executive,Principal,Senior Director/Director,Director of Customer Services,Kampala Water,"Plot 604, Station Road, Kololo, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Kololo,DB
NWSC-2026-00306,nwc6710a96fc1a969be088,NWSC-MEM-000055,NWSC-HH-000055,Sarah Mutebi,Staff,Principal,Field/Operations,Leakage Technician,Human Resource,"Plot 275, Market Street, Kawanda, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Kawanda,DB
NWSC-2026-00307,nw2c460966d2baf5b52003,NWSC-MEM-000056,NWSC-HH-000056,Francis Odongo,Staff,Principal,Field/Operations,Leakage Technician,Planning & Capital Development,"Plot 859, Reservoir Road, Bweyogerere, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Bweyogerere,DB
NWSC-2026-00308,nwb08cacb68b75b8f7aa7b,NWSC-MEM-000057,NWSC-HH-000057,John Mukasa,Officer,Principal,Supervisor/Specialist,Water Quality Specialist,Kampala Water,"Plot 56, Lake View Road, Kira, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kira,DB
NWSC-2026-00309,nw298bd3fc7af848dcb578,NWSC-MEM-000058,NWSC-HH-000058,Annet Kisembo,Staff,Principal,Field/Operations,Meter Reader,Regional Operations,"Plot 593, School Lane, Kira, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kira,DB
NWSC-2026-00310,nwec44a1612da16475eb02,NWSC-MEM-000059,NWSC-HH-000059,Andrew Tumusiime,Executive,Principal,Executive Leadership,Corporate Strategy Lead,Human Resource,"Plot 66, Hill Road, Namanve, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Namanve,DB
NWSC-2026-00311,nw2b51901983cced28464b,NWSC-MEM-000060,NWSC-HH-000060,Ibrahim Mutebi,Officer,Principal,Professional/Officer,Commercial Officer,Kampala Water,"Plot 161, Civic Road, Rubaga, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Rubaga,DB
NWSC-2026-00312,nwaa90797bb8a240b9813a,NWSC-MEM-000061,NWSC-HH-000061,Irene Nakku,Officer,Principal,Supervisor/Specialist,Projects Supervisor,Public Relations & Corporate Communications,"Plot 927, Church Road, Masulita, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Masulita,DB
NWSC-2026-00313,nw600044b53ae7b48f5db4,NWSC-MEM-000062,NWSC-HH-000062,Daniel Ntale,Officer,Principal,Professional/Officer,IT Officer,Kampala Water,"Plot 443, High Street, Masulita, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Masulita,DB
NWSC-2026-00314,nw24539777ff2bee41d2bc,NWSC-MEM-000063,NWSC-HH-000063,Ruth Kahuma,Staff,Principal,Field/Operations,Plant Operator,Finance & Corporate Strategy,"Plot 874, Old Kampala Road, Goma, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Goma,DB
NWSC-2026-00315,nw68b04bc55e61d43bad02,NWSC-MEM-000064,NWSC-HH-000064,Collins Ocen,Management,Principal,Regional/General Manager,General Manager,Kampala Water,"Plot 309, Station Road, Mukono Central, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Mukono Central,DB
NWSC-2026-00316,nwc15387e04fbf2cece509,NWSC-MEM-000065,NWSC-HH-000065,Jackie Wamala,Staff,Principal,Field/Operations,Plant Operator,Regional Operations,"Plot 496, Spring Road, Masulita, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Masulita,DB
NWSC-2026-00317,nwbbec87ed37656721f7d3,NWSC-MEM-000066,NWSC-HH-000066,Okello Bukenya,Officer,Principal,Supervisor/Specialist,Water Quality Specialist,Water Quality,"Plot 304, Hospital Road, Namusera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Namusera,DB
NWSC-2026-00318,nw56ea50418334b6c20d19,NWSC-MEM-000067,NWSC-HH-000067,Peter Baluku,Executive,Principal,Senior Director/Director,Director of Operations,Regional Operations,"Plot 533, Market Street, Kira, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kira,DB
NWSC-2026-00319,nw949d02e1b5196b2bedac,NWSC-MEM-000068,NWSC-HH-000068,Stephen Nakku,Officer,Principal,Supervisor/Specialist,Billing Supervisor,Kampala Water,"Plot 807, Civic Road, Kira, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kira,DB
NWSC-2026-00320,nw393af5b25264ee7963ed,NWSC-MEM-000069,NWSC-HH-000069,Godfrey Okello,Executive,Principal,Senior Director/Director,Director of Customer Services,Kampala Water,"Plot 893, Civic Road, Seeta, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Seeta,DB
NWSC-2026-00321,nwdf649a9aadcaa4f46200,NWSC-MEM-000070,NWSC-HH-000070,Abdul Baluku,Staff,Principal,Field/Operations,Pump Attendant,Commercial & Customer Services,"Plot 846, Main Street, Masulita, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Masulita,DB
NWSC-2026-00322,nw43232ceb01c940a0bf10,NWSC-MEM-000071,NWSC-HH-000071,Joan Mirembe,Executive,Principal,Senior Director/Director,Director of Engineering,Kampala Water,"Plot 361, Spring Road, Kakiri, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Kakiri,DB
NWSC-2026-00323,nw72e3f98d585e96c4d53e,NWSC-MEM-000072,NWSC-HH-000072,Catherine Bukenya,Staff,Principal,Support/Admin,Records Clerk,Kampala Water,"Plot 112, Council Road, Namanve, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Namanve,DB
NWSC-2026-00324,nw514f90a2f0ac8bdddbb1,NWSC-MEM-000073,NWSC-HH-000073,Sylvia Ouma,Officer,Principal,Professional/Officer,Civil Engineer,Legal Services,"Plot 408, Spring Road, Masulita, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Masulita,DB
NWSC-2026-00325,nwe156681cc010df301aa3,NWSC-MEM-000074,NWSC-HH-000074,Ruth Namutebi,Staff,Principal,Field/Operations,Leakage Technician,Public Relations & Corporate Communications,"Plot 339, Commercial Street, Namanve, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Namanve,DB
NWSC-2026-00326,nwb57cebe61ba9f99da638,NWSC-MEM-000075,NWSC-HH-000075,Susan Odongo,Staff,Principal,Field/Operations,Network Technician,Finance & Corporate Strategy,"Plot 250, Market Street, Kyaliwajjala, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kyaliwajjala,DB
NWSC-2026-00327,nwaf5083a2ada91e93521e,NWSC-MEM-000076,NWSC-HH-000076,Brenda Byaruhanga,Staff,Principal,Support/Admin,Stores Assistant,Planning & Capital Development,"Plot 560, Lake View Road, Nakasero, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Nakasero,DB
NWSC-2026-00328,nw6d60a08b4817d891cd25,NWSC-MEM-000077,NWSC-HH-000077,Mary Wamala,Executive,Principal,Senior Director/Director,Director of Finance,Kampala Water,"Plot 104, Old Kampala Road, Najjeera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Najjeera,DB
NWSC-2026-00329,nw8b3f505e93742757660c,NWSC-MEM-000078,NWSC-HH-000078,Isaac Aciro,Staff,Principal,Field/Operations,Pump Attendant,Legal Services,"Plot 366, Commercial Street, Mukono Central, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Mukono Central,DB
NWSC-2026-00330,nw539a5c53b0d75a4582df,NWSC-MEM-000079,NWSC-HH-000079,Mark Okello,Staff,Principal,Support/Admin,Stores Assistant,Kampala Water,"Plot 251, High Street, Buloba, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Buloba,DB
NWSC-2026-00331,nw68f2361633a3f497bb58,NWSC-MEM-000080,NWSC-HH-000080,Collins Okello,Staff,Principal,Field/Operations,Field Assistant,Kampala Water,"Plot 734, Civic Road, Nakasero, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Nakasero,DB
NWSC-2026-00332,nw0cf1956fdeb28562ddab,NWSC-MEM-000081,NWSC-HH-000081,Ben Mukasa,Officer,Principal,Professional/Officer,Commercial Officer,Engineering Services,"Plot 576, Reservoir Road, Wakiso, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Wakiso,DB
NWSC-2026-00333,nw01e4652e03912e5289f0,NWSC-MEM-000082,NWSC-HH-000082,Ben Obote,Executive,Principal,Senior Director/Director,Director of Engineering,Kampala Water,"Plot 174, Station Road, Kakiri Road, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Kakiri Road,DB
NWSC-2026-00334,nw718dd670da69ed812b54,NWSC-MEM-000083,NWSC-HH-000083,Grace Okot,Staff,Principal,Field/Operations,Plant Operator,Technical Services,"Plot 782, Spring Road, Namusera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Namusera,DB
NWSC-2026-00335,nw6eba3698bddc7a5cfb7c,NWSC-MEM-000084,NWSC-HH-000084,Angela Tumusiime,Staff,Principal,Field/Operations,Meter Reader,Planning & Capital Development,"Plot 354, School Lane, Ntinda, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Ntinda,DB
NWSC-2026-00336,nw5f2b0362730c1b4ed83e,NWSC-MEM-000085,NWSC-HH-000085,Irene Alupo,Officer,Principal,Professional/Officer,Commercial Officer,Finance & Corporate Strategy,"Plot 660, Main Street, Ntinda, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Ntinda,DB
NWSC-2026-00337,nw4f72176b70585edcb5d2,NWSC-MEM-000086,NWSC-HH-000086,Prossy Walusimbi,Management,Principal,Regional/General Manager,General Manager,Kampala Water,"Plot 604, School Lane, Kazo, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Kazo,DB
NWSC-2026-00338,nwa41ac1e601cf9e6f2d23,NWSC-MEM-000087,NWSC-HH-000087,Raymond Ntale,Officer,Principal,Professional/Officer,IT Officer,Regional Operations,"Plot 732, Industrial Lane, Kololo, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Kololo,DB
